frame.number	ip.src	ip.dst	udp.srcport	udp.dstport	rip.command	rip.ip	rip.metric
1	198.18.160.1	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4	16,16
2	198.18.160.5	224.0.0.9	520	520	2	198.18.161.1,198.18.163.1	2,16
3	198.18.160.2	224.0.0.9	520	520	2	198.18.161.1,198.18.163.1	16,2
4	198.18.160.6	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1	16,16,16
5	198.18.160.6	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,16,1
6	198.18.160.1	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,1,16
7	198.18.160.5	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,2,16
8	198.18.160.2	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,16,2
9	198.18.160.6	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,16,1
10	198.18.160.1	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,1,16
11	198.18.160.5	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,2,16
12	198.18.160.2	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,16,2
13	198.18.160.6	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,16,1
14	198.18.160.1	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,1,16
15	198.18.160.5	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,2,16
16	198.18.160.2	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,16,2
17	198.18.160.6	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,16,1
18	198.18.160.1	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,1,16
19	198.18.160.5	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,2,16
20	198.18.160.2	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,16,2
21	198.18.160.6	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,16,1
22	198.18.160.1	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,1,16
23	198.18.160.5	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,2,16
24	198.18.160.2	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,16,2
25	198.18.160.6	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,16,1
26	198.18.160.1	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,1,16
27	198.18.160.5	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,2,16
28	198.18.160.2	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,16,2
29	198.18.160.6	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,16,1
30	198.18.160.1	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	16,16,1,16
31	198.18.160.5	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,2,16
32	198.18.160.2	224.0.0.9	520	520	2	198.18.160.0,198.18.160.4,198.18.161.1,198.18.163.1	1,1,16,2
