frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	http.request.method	http.host	http.response.code	http.response.line
1	198.18.230.2	198.18.230.2	38560	18081				
2	198.18.230.2	198.18.230.2	18081	38560				
3	198.18.230.2	198.18.230.2	38560	18081				
4	198.18.230.1	198.18.230.1	52096	18080				
5	198.18.230.1	198.18.230.1	18080	52096				
6	198.18.230.1	198.18.230.1	52096	18080				
7	198.18.230.1	198.18.230.1	52096	18080	GET	museum.test		
8	198.18.230.2	198.18.230.2	52930	18081				
9	198.18.230.2	198.18.230.2	18081	52930				
10	198.18.230.2	198.18.230.2	52930	18081				
11	198.18.230.2	198.18.230.2	52930	18081	GET	museum.test		
12	198.18.230.2	198.18.230.2	18081	52930				
13	198.18.230.2	198.18.230.2	18081	52930				
14	198.18.230.2	198.18.230.2	52930	18081				
15	198.18.230.2	198.18.230.2	18081	52930			200	Server: BaseHTTP/0.6 Python/3.12.3\r\n,Date: Sat, 29 Aug 2026 16:08:20 GMT\r\n,Content-Length: 17\r\n,X-Backend: origin-a\r\n
16	198.18.230.2	198.18.230.2	52930	18081				
17	198.18.230.1	198.18.230.1	18080	52096			200	server: BaseHTTP/0.6 Python/3.12.3\r\n,date: Sat, 29 Aug 2026 16:08:20 GMT\r\n,content-length: 17\r\n,x-backend: origin-a\r\n,connection: keep-alive\r\n
18	198.18.230.2	198.18.230.2	18081	52930				
19	198.18.230.1	198.18.230.1	52096	18080				
20	198.18.230.2	198.18.230.2	52930	18081				
21	198.18.230.2	198.18.230.2	18081	52930				
22	198.18.230.1	198.18.230.1	52096	18080				
23	198.18.230.1	198.18.230.1	18080	52096				
24	198.18.230.1	198.18.230.1	52096	18080				
25	198.18.230.2	198.18.230.2	52936	18081				
26	198.18.230.2	198.18.230.2	18081	52936				
27	198.18.230.2	198.18.230.2	52936	18081				
