frame.number	ip.src	ip.dst	ip.ttl	icmp.type	icmp.code	icmp.mtu	udp.dstport
1	198.18.240.2	198.18.240.6	64	8	0		
2	198.18.240.2	198.18.240.6	63	8	0		
3	198.18.240.6	198.18.240.2	64	0	0		
4	198.18.240.6	198.18.240.2	63	0	0		
5	198.18.240.2	198.18.240.6	64	8	0		
6	198.18.240.1,198.18.240.2	198.18.240.2,198.18.240.6	64,64	3,8	4,0	1400	
7	198.18.240.2	198.18.240.6	1				33434
8	198.18.240.1,198.18.240.2	198.18.240.2,198.18.240.6	64,1	11	0		33434
9	198.18.240.2	198.18.240.6	2				33435
10	198.18.240.2	198.18.240.6	1				33435
11	198.18.240.6,198.18.240.2	198.18.240.2,198.18.240.6	64,1	3	3		33435
12	198.18.240.6,198.18.240.2	198.18.240.2,198.18.240.6	63,1	3	3		33435
13	198.18.240.2	198.18.240.6	3				33436
14	198.18.240.2	198.18.240.6	2				33436
15	198.18.240.6,198.18.240.2	198.18.240.2,198.18.240.6	64,2	3	3		33436
16	198.18.240.6,198.18.240.2	198.18.240.2,198.18.240.6	63,2	3	3		33436
17	198.18.240.2	198.18.240.6	4				33437
18	198.18.240.2	198.18.240.6	3				33437
19	198.18.240.6,198.18.240.2	198.18.240.2,198.18.240.6	64,3	3	3		33437
20	198.18.240.6,198.18.240.2	198.18.240.2,198.18.240.6	63,3	3	3		33437
21	198.18.240.2	198.18.240.6	1	8	0		
22	198.18.240.1,198.18.240.2	198.18.240.2,198.18.240.6	64,1	11,8	0,0		
23	198.18.240.2	198.18.240.6	2	8	0		
24	198.18.240.2	198.18.240.6	1	8	0		
25	198.18.240.6	198.18.240.2	64	0	0		
26	198.18.240.6	198.18.240.2	63	0	0		
27	198.18.240.2	198.18.240.6	3	8	0		
28	198.18.240.2	198.18.240.6	2	8	0		
29	198.18.240.6	198.18.240.2	64	0	0		
30	198.18.240.6	198.18.240.2	63	0	0		
31	198.18.240.2	198.18.240.6	4	8	0		
32	198.18.240.2	198.18.240.6	3	8	0		
33	198.18.240.6	198.18.240.2	64	0	0		
34	198.18.240.6	198.18.240.2	63	0	0		
