frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	ftp.request.command	ftp.response.code
1	198.18.0.1	198.18.0.2	33594	2122		
2	198.18.0.2	198.18.0.1	2122	33594		
3	198.18.0.1	198.18.0.2	33594	2122		
4	198.18.0.2	198.18.0.1	2122	33594		220
5	198.18.0.1	198.18.0.2	33594	2122		
6	198.18.0.1	198.18.0.2	33594	2122	USER	
7	198.18.0.2	198.18.0.1	2122	33594		
8	198.18.0.2	198.18.0.1	2122	33594		331
9	198.18.0.1	198.18.0.2	33594	2122	PASS	
10	198.18.0.2	198.18.0.1	2122	33594		230
11	198.18.0.1	198.18.0.2	33594	2122	SYST	
12	198.18.0.2	198.18.0.1	2122	33594		215
13	198.18.0.1	198.18.0.2	33594	2122	FEAT	
14	198.18.0.2	198.18.0.1	2122	33594		211
15	198.18.0.2	198.18.0.1	2122	33594		
16	198.18.0.2	198.18.0.1	2122	33594		211
17	198.18.0.1	198.18.0.2	33594	2122		
18	198.18.0.1	198.18.0.2	33594	2122	EPRT	
19	198.18.0.2	198.18.0.1	48707	47135		
20	198.18.0.1	198.18.0.2	47135	48707		
21	198.18.0.2	198.18.0.1	48707	47135		
22	198.18.0.2	198.18.0.1	2122	33594		200
23	198.18.0.1	198.18.0.2	33594	2122	LIST	
24	198.18.0.2	198.18.0.1	2122	33594		125
25	198.18.0.2	198.18.0.1	48707	47135		
26	198.18.0.1	198.18.0.2	47135	48707		
27	198.18.0.2	198.18.0.1	48707	47135		
28	198.18.0.1	198.18.0.2	47135	48707		
29	198.18.0.2	198.18.0.1	48707	47135		
30	198.18.0.2	198.18.0.1	2122	33594		226
31	198.18.0.1	198.18.0.2	33594	2122		
32	198.18.0.1	198.18.0.2	33594	2122	QUIT	
33	198.18.0.2	198.18.0.1	2122	33594		221
34	198.18.0.1	198.18.0.2	33594	2122		
35	198.18.0.2	198.18.0.1	2122	33594		
36	198.18.0.1	198.18.0.2	33594	2122		
