frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	ftp.request.command	ftp.response.code
1	198.18.0.1	198.18.0.2	40734	2121		
2	198.18.0.2	198.18.0.1	2121	40734		
3	198.18.0.1	198.18.0.2	40734	2121		
4	198.18.0.2	198.18.0.1	2121	40734		220
5	198.18.0.1	198.18.0.2	40734	2121		
6	198.18.0.1	198.18.0.2	40734	2121	USER	
7	198.18.0.2	198.18.0.1	2121	40734		
8	198.18.0.2	198.18.0.1	2121	40734		331
9	198.18.0.1	198.18.0.2	40734	2121	PASS	
10	198.18.0.2	198.18.0.1	2121	40734		230
11	198.18.0.1	198.18.0.2	40734	2121	SYST	
12	198.18.0.2	198.18.0.1	2121	40734		215
13	198.18.0.1	198.18.0.2	40734	2121	FEAT	
14	198.18.0.2	198.18.0.1	2121	40734		211
15	198.18.0.2	198.18.0.1	2121	40734		
16	198.18.0.2	198.18.0.1	2121	40734		211
17	198.18.0.1	198.18.0.2	40734	2121		
18	198.18.0.1	198.18.0.2	40734	2121	TYPE	
19	198.18.0.2	198.18.0.1	2121	40734		200
20	198.18.0.1	198.18.0.2	40734	2121	SIZE	
21	198.18.0.2	198.18.0.1	2121	40734		213
22	198.18.0.1	198.18.0.2	40734	2121	EPSV	
23	198.18.0.2	198.18.0.1	2121	40734		229
24	198.18.0.1	198.18.0.2	40810	19000		
25	198.18.0.2	198.18.0.1	19000	40810		
26	198.18.0.1	198.18.0.2	40810	19000		
27	198.18.0.1	198.18.0.2	40734	2121	RETR	
28	198.18.0.2	198.18.0.1	2121	40734		125
29	198.18.0.2	198.18.0.1	19000	40810		
30	198.18.0.1	198.18.0.2	40810	19000		
31	198.18.0.2	198.18.0.1	19000	40810		
32	198.18.0.2	198.18.0.1	2121	40734		226
33	198.18.0.1	198.18.0.2	40810	19000		
34	198.18.0.2	198.18.0.1	19000	40810		
35	198.18.0.1	198.18.0.2	40734	2121		
36	198.18.0.1	198.18.0.2	40734	2121	MDTM	
37	198.18.0.2	198.18.0.1	2121	40734		213
38	198.18.0.1	198.18.0.2	40734	2121	QUIT	
39	198.18.0.2	198.18.0.1	2121	40734		221
40	198.18.0.1	198.18.0.2	40734	2121		
41	198.18.0.2	198.18.0.1	2121	40734		
42	198.18.0.1	198.18.0.2	40734	2121		
43	198.18.0.1	198.18.0.2	40750	2121		
44	198.18.0.2	198.18.0.1	2121	40750		
45	198.18.0.1	198.18.0.2	40750	2121		
46	198.18.0.2	198.18.0.1	2121	40750		220
47	198.18.0.1	198.18.0.2	40750	2121		
48	198.18.0.1	198.18.0.2	40750	2121	USER	
49	198.18.0.2	198.18.0.1	2121	40750		
50	198.18.0.2	198.18.0.1	2121	40750		331
51	198.18.0.1	198.18.0.2	40750	2121	PASS	
52	198.18.0.2	198.18.0.1	2121	40750		230
53	198.18.0.1	198.18.0.2	40750	2121	SYST	
54	198.18.0.2	198.18.0.1	2121	40750		215
55	198.18.0.1	198.18.0.2	40750	2121	FEAT	
56	198.18.0.2	198.18.0.1	2121	40750		211
57	198.18.0.2	198.18.0.1	2121	40750		
58	198.18.0.2	198.18.0.1	2121	40750		211
59	198.18.0.1	198.18.0.2	40750	2121		
60	198.18.0.1	198.18.0.2	40750	2121	QUIT	
61	198.18.0.2	198.18.0.1	2121	40750		221
62	198.18.0.1	198.18.0.2	40750	2121		
63	198.18.0.2	198.18.0.1	2121	40750		
64	198.18.0.1	198.18.0.2	40750	2121		
